COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci,4566,0,0
fibonacci,4599,0,1
fibonacci,4596,0,3
fibonacci,4586,5,7
fibonacci,4606,0,1
fibonacci,4589,0,6
fibonacci,4591,3,5
fibonacci,4597,0,4
fibonacci,4607,0,1
fibonacci,4605,0,3
fibonacci,4582,5,8
fibonacci,4608,0,1
fibonacci,4572,5,10
fibonacci,4603,0,4
fibonacci,4558,10,13
fibonacci,4576,9,10
fibonacci,4580,4,9
fibonacci,4568,9,11
fibonacci,4598,3,6
fibonacci,4561,11,13
fibonacci,4552,13,15
fibonacci,4612,0,2
fibonacci,4545,16,18
fibonacci,4609,0,4
fibonacci,4610,0,4
fibonacci,4617,0,1
fibonacci,4534,19,21
fibonacci,4618,0,2
fibonacci,4542,20,23
fibonacci,4619,0,2
fibonacci,4624,0,2
fibonacci,4620,0,4
fibonacci,4594,8,13
fibonacci,4627,0,2
fibonacci,4622,0,4
fibonacci,4628,0,1
fibonacci,4611,4,8
fibonacci,4604,8,13
fibonacci,4623,0,4
fibonacci,4625,0,4
fibonacci,4626,0,4
fibonacci,4630,0,2
fibonacci,4556,17,24
fibonacci,4632,0,2
fibonacci,4587,14,20
fibonacci,4602,6,18
fibonacci,4536,28,30
fibonacci,4631,0,6
fibonacci,4629,0,8
fibonacci,4621,2,13
fibonacci,4569,36,41
fibonacci,4553,33,36
fibonacci,4538,32,35
fibonacci,4595,18,26
fibonacci,4550,32,35
fibonacci,4543,29,73
fibonacci,4578,20,31
fibonacci,4559,33,35
fibonacci,4616,2,20
fibonacci,4540,36,40
fibonacci,4562,31,34
fibonacci,4563,33,35
fibonacci,4549,34,38
fibonacci,4564,33,35
fibonacci,4537,40,42
fibonacci,4615,17,23
fibonacci,4585,26,33
fibonacci,4533,40,42
fibonacci,4551,38,40
fibonacci,4579,34,36
fibonacci,4571,35,37
fibonacci,4539,43,50
fibonacci,4567,41,50
fibonacci,4575,48,52
fibonacci,4581,49,52
fibonacci,4535,58,61
fibonacci,4546,58,60
fibonacci,4557,57,60
fibonacci,4613,2,48
fibonacci,4588,27,58
fibonacci,4583,59,62
fibonacci,4590,13,89
fibonacci,4570,89,94
fibonacci,4574,18,96
fibonacci,4547,200,202
fibonacci,4592,90,93
fibonacci,4548,37,114
fibonacci,4584,103,107
fibonacci,4593,103,105
fibonacci,4565,56,137
fibonacci,4577,95,172
fibonacci,4555,99,236
fibonacci,4573,18,351
fibonacci,4544,40,368
fibonacci,4554,67,593
fibonacci,4541,61,600
fibonacci,4601,6,830
fibonacci,4600,13,852
fibonacci,4560,37,871
fibonacci,4614,5,1872
